00000000	00000000	00000000
00000001	00000001	00000002
00000002	00000002	00000004
00000003	00000003	00000006
00000004	00000004	00000008
00000005	00000005	0000000a
00000006	00000006	0000000c
00000007	00000007	0000000e
00000008	00000008	00000010
00000009	00000009	00000012
0000000a	0000000a	00000014
0000000b	0000000b	00000016
0000000c	0000000c	00000018
0000000d	0000000d	0000001a
0000000e	0000000e	0000001c
0000000f	0000000f	0000001e
00000010	00000010	00000020
00000011	00000011	00000022
00000012	00000012	00000024
00000013	00000013	00000026
00000014	00000014	00000028
00000015	00000015	0000002a
00000016	00000016	0000002c
00000017	00000017	0000002e
00000018	00000018	00000030
00000019	00000019	00000032
